Krankenhaus,Anzahl_Standorte,Betten_gesamt,Orte,Kreise,Telefon,E_Mail,Website,Traeger,Quelle
Nordwest-Krankenhaus Sanderbusch GmbH,1,355.0,Sande,Friesland,04422 80-0,info@friesland-kliniken.de,www.friesland-kliniken.de,Nordwest-Krankenhaus Sanderbusch GmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
OsteMed Klinik Bremervörde,1,161.0,Bremervörde,Rotenburg (Wümme),04761 980-0,info@ostemed.de,www.ostemed.de,OsteMed Kliniken und Pflege GmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Paracelsus Klinik am Silbersee,1,128.0,Langenhagen,Region Hannover,0511 7794-0,langenhagen@paracelsus-kliniken.de,www.paracelsus-kliniken.de,Paracelsus-Kliniken Deutschland,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Paulinenkrankenhaus,1,50.0,Bad Bentheim,Grafschaft Bentheim,05922 977-0,info@orthopaedie-badbentheim.de,www.orthopaedie-badbentheim.de,Stiftung Mathias Spital,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Pius-Hospital,1,408.0,Oldenburg (Oldb.),"Oldenburg (Oldenburg), Stadt",0441 229-0,info@pius-hospital.de,www.pius-hospital.de,Pius Hospital,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Privat-Nervenklinik Dr. med. Fontheim,3,280.0,"Goslar, Liebenburg, Salzgitter",Goslar,05346 81-0,info@klinik-dr-fontheim.de,www.klinik-dr-fontheim.de,Privat-Nervenklinik Dr. med. Kurt Fontheim GmbH & Co. KG,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Privatklinik Bad Zwischenahn Fachklinik für Psychotherapeutische Medizin und Psychosomatik,1,23.0,Bad Zwischenahn,Ammerland,04403 97910,info@privatklinik-zwischenahn.de,www.privatklinik-zwischenahn.de,Privatklinik Bad Zwischenahn DFI GmbH & Co. KG,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Psychiatrisch-Psychosomatische Klinik Celle,1,78.0,Celle,Celle,05141 5935-0,mail@warhrendorff.de,www.klinikum-celle.de,Klinikum Wahrendorff GmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Psychiatrische Klinik Lüneburg gemeinnützige GmbH,5,296.0,"Bad Bevensen, Buchholz in der Nordheide, Lüneburg, Soltau, Stade, Niederelbe",Lüneburg,04131 60-0,info@pk.lueneburg.de,www.pk.lueneburg.de,Gesundheitsholding Lüneburg GmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Psychiatrische Klinik Uelzen gGmbH,2,96.0,"Dannenberg (Elbe), Uelzen, Lüneburger Heide",Uelzen,0581 3895-0,info@pk-uelzen.de,www.pk-uelzen.de,Psychiatrische Klinik Uelzen gGmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Sana Klinikum Hameln-Pyrmont,1,348.0,Hameln,Hameln-Pyrmont,05151 97-0,info@sana-hm.de,www.sana-hm.de,Gesundheitseinrichtungen Hameln-Pyrmont GmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Schüchtermann-Klinik,1,212.0,Bad Rothenfelde,Osnabrück,05424 641-0,info@schuechtermann-klinik.de,www.schuechtermann-klinik.de,Schüchtermann-Schiller'sche Kliniken Bad RothenfeldeGmbH & Co. KG,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Sophien-Klinik GmbH,1,117.0,Hannover,Region Hannover,0511 3667-0,info@sophienklinik.de,www.sophienklinik.de,Sophien-Klinik GmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
St. Anna Klinik,1,127.0,Löningen,Cloppenburg,05432 969-0,info@anna-klinik.de,www.anna-klinik.de,St. Anna Klinik gemeinützige GmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
St. Bernhard-Hospital,1,109.0,Brake (Unterweser),Wesermarsch,04401 105-0,info@sbhospital.de,www.sbhospital.de,St. Bernhard Hospital gGmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
St. Bernward Krankenhaus,1,508.0,Hildesheim,Hildesheim,05121 90-0,info@bernward-khs.de,www.bernward-khs.de,St. Bernward KrankenhausGmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
St. Bonifatius Hospital,1,454.0,Lingen,Emsland,0591 910-0,info@bonifatius-lingen.de,www.bonifatius-hospital-lingen.de,St. Bonifatius Hospital Lingen gGmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
St. Elisabeth-Krankenhaus Salzgitter gemeinützige Gesellschaft mbH,1,108.0,Salzgitter,"Salzgitter, Stadt",05341 824-0,kontakt@st-elisabeth-sz.de,www.st-elisabeth-sz.de,St. Elisabeth-Krankenhaus Salzgitter gemeinützige Gesellschaft mbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
St. Franziskus Hospital gGmbH,1,216.0,Lohne,Vechta,04442 810,info@krankenhaus-lohne.de,www.krankenhaus-lohne.de,St. Franziskus Hospital gGmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
St. Johannes-Hospital,1,155.0,"Varel, Jadebusen",Friesland,04451 920-0,postoffice@krankenhaus-varel.de,www.krankenhaus-varel.de,St. Johannes Hospital gGmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
St. Marien Hospital gGmbH,1,115.0,Friesoythe,Cloppenburg,04491 940-0,info@smhf.de,www.marienstift-friesoythe.de,St. Marien-Stift,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
St. Marienhospital Vechta gGmbH,1,344.0,Vechta,Vechta,04441 99-0,info@marienhospital-vechta.de,www.marienhospital-vechta.de,St. Marienhospital Vechta gGmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
St. Martini gGmbH,1,177.0,Duderstadt,Göttingen,05527 842-0,info@elisabeth-vinzenz.de,www.elisabeth-vinzenz.de,St. Martini gGmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
St.-Josefs-Hospital Cloppenburg gGmbH,1,247.0,Cloppenburg,Cloppenburg,04471 16-0,verwaltung@kh-clp.de,www.krankenhaus-cloppenburg.de,St.-Josefs-Hospital Cloppenburg gGmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Stenum Fachklinik für Orthopädie,1,55.0,Ganderkesee,Oldenburg,04223 71-0,gesund@stenum-ortho.de,www.stenum-ortho.de,Stenum Ortho GmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Städtisches Klinikum Braunschweig,3,1076.0,Braunschweig,"Braunschweig, Stadt",0531 595-0,info@klinikum-braunschweig.de,www.klinikum-braunschweig.de,Städtisches Klinikum Braunschweig gGmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Städtisches Klinikum Lüneburg gGmbH,1,567.0,Lüneburg,Lüneburg,04131 77-0,info@klinikum-lueneburg.de,www.klinikum-lueneburg.de,Städtisches Klinikum Lüneburg gGmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Städtisches Klinikum Wolfenbüttel gGmbH,1,301.0,Wolfenbüttel,Wolfenbüttel,05331 934-0,info@klinikum-wolfenbuettel.de,www.klinikum-wolfenbuettel.de,Städtisches Klinikum Wolfenbüttel gGmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Ubbo-Emmius-Klinik Aurich,1,333.0,Aurich (Ostfriesland),Aurich,04941 94-0,verwaltungsdirektion@u-e-k.de,www.u-e-k.de,Ubbo-Emmius-Klinik gGmbH Ostfriesisches Krankenhaus,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Ubbo-Emmius-Klinik gGmbH Klinik Norden,1,223.0,Norden,Aurich,04931 181-0,n-verw@u-e-k.de,www.u-e-k.de,Ubbo-Emmius-Klinik gGmbH Ostfriesisches Krankenhaus,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Universitätsmedizin Göttingen,1,1503.0,Göttingen,Göttingen,0551 39-0,,www.universitaetsmedizin-goettingen.de,Universitätsmedizin Göttingen Stiftung öffentlichen Rechts G3-1 Geschäftsbereich Finanzen,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Venenzentrum Braunschweig,2,28.0,Braunschweig,"Braunschweig, Stadt",0531 707080,info@venenzentrum-bs.de,www.venenzentrum-braunschweig.de,Venenzentrum Braunschweig GmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Vinzenzkrankenhaus,1,306.0,Hannover,Region Hannover,0511 950-0,info@vinzenzkrankenhaus.de,www.vinzenzkrankenhaus.de,Vinzenzkrankenhaus Hannover gGmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Waldklinik Jesteburg,1,75.0,Jesteburg,Harburg,04183 799-0,info@waldklinik-jesteburg.de,www.waldklinik-jesteburg.de,Waldklinik Jesteburg Aldag GmbH & Co. KG,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
